galaxy,bibcode,citation,band,modulus,random_error,systematic_error,total_error,category_error,cepheids_number,metal_correction,zero_point,probe_quality,publication_year,review_year,comments,review_author,ads_date,ads_jd
M101,2015MNRAS.449.1171N,Nataf et al. 2015,W(VI),29.14,0.031,,,5,228,True,LMC,1,2015,2026,Relative modulus to the LMC; its zero point is not added. CCM89 uses RI=1.4695 and gives gamma=-0.433+/-0.145 mag dex^-1. Three of 231 clean Cepheids were rejected by recursive 3-sigma clipping.,Quintero-Salazar et al.2026,2015-05-00,2457143.5
M101,2015MNRAS.449.1171N,Nataf et al. 2015,W(VI),29.14,0.011,,,5,228,True,LMC,1,2015,2026,Alternative LMC-relative solution with the F99 extinction curve and gamma=-0.23 mag dex^-1 fixed from the literature. The quoted uncertainty is random and no absolute LMC zero point is included.,Quintero-Salazar et al.2026,2015-05-00,2457143.5
M101,2015MNRAS.449.1171N,Nataf et al. 2015,W(VI),29.17,0.031,,,5,228,True,LMC,1,2015,2026,Relative modulus to the LMC with no absolute LMC zero point added. The F99 extinction curve uses RI=1.2899 and yields gamma=-0.406+/-0.144 mag dex^-1.,Quintero-Salazar et al.2026,2015-05-00,2457143.5
M101,2015MNRAS.449.1171N,Nataf et al. 2015,W(VI),29.17,0.011,,,5,228,True,LMC,1,2015,2026,Alternative FM07 result with gamma=-0.23 mag dex^-1 fixed. It is relative to the LMC without adding its absolute modulus. FM07 provides the smallest sensitivity to the adopted reddening cut.,Quintero-Salazar et al.2026,2015-05-00,2457143.5
M101,2015MNRAS.449.1171N,Nataf et al. 2015,W(VI),29.2,0.031,,,5,228,True,LMC,1,2015,2026,"Preferred relative modulus; no LMC zero point is added. FM07 uses RI=1.1450, gives gamma=-0.384+/-0.144 mag dex^-1, and is least sensitive to the reddening cut. Only random error is quoted.",Quintero-Salazar et al.2026,2015-05-00,2457143.5
M101,2016ApJ...826...56R,Riess et al.2016,VIHK,29.135,0.045,,,1,251,True,N4258,1,2016,2024,"The values do not appear in the article, they are online.",Valencia et al.2024,2016-07-00,2457570.5
M101,2022ApJ...934L...7R,Riess et al. 2022,W H(VI),29.178,0.036,0.019,0.041,2,259,True,N4258+GC+LMC,1,2022,2026,Preferred SN-independent mu_host; no SN data from any host enter this distance. The systematic component is correlated across hosts. Error computed/retrieved from Table6.,Quintero-Salazar et al.2026,2022-07-00,2459761.5
M101,2022ApJ...934L...7R,Riess et al. 2022,W H(VI),29.194,0.034,0.019,0.039,2,259,True,N4258+GC+LMC,1,2022,2026,Approximate mu_Ceph obtained after excluding only SN 2011fe. M101 Cepheids with P>35 days are excluded because of completeness bias. Error computed/retrieved from Table6.,Quintero-Salazar et al.2026,2022-07-00,2459761.5
MRK116,2007ApJ...667L.151A,Aloisi et al.2007,W(VI),31.38,0.17,,,1,3,False,LMC,1,2007,2024,"1 usual Cepheid, 2 with extrapolation for long periods.",Valencia et al.2024,2007-10-00,2454374.5
MRK116,2010ApJ...711..808F,Fiorentino et al. 2010,W(VI),31.2,0.3,,,3,1,False,TM,1,2010,2026,Wesenheit solution for V6 using models overluminous by 0.25 dex at fixed mass. The two >100-day Cepheids were excluded because pulsation models do not reliably predict such periods at I Zw 18 metallicity.,Quintero-Salazar et al.2026,2010-03-00,2455256.5
MRK116,2010ApJ...711..808F,Fiorentino et al. 2010,W(VI),31.4,0.3,,,3,1,False,TM,1,2010,2026,"Canonical theoretical Wesenheit solution based only on the 8.71-day Cepheid V6. Models use Z=0.0004 and Y=0.24, so metallicity is built into the calibration rather than applied as an empirical correction.",Quintero-Salazar et al.2026,2010-03-00,2455256.5
MRK116,2010ApJ...711..808F,Fiorentino et al. 2010,VI,31.4,0.2,,,3,1,False,TM,1,2010,2026,"Independent nonlinear fit to the V and I light-curve morphology of V6. The quoted error includes internal fit dispersion and observational errors. This is a Cepheid pulsation-model distance, not a conventional multi-Cepheid PL regression.",Quintero-Salazar et al.2026,2010-03-00,2455256.5
MRK116,2010ApJ...713..615M,Marconi et al. 2010,W(VI),31.2,0.4,,,3,1,False,TM,1,2010,2026,"Noncanonical Wesenheit solution for V6, adopting a luminosity 0.25 dex above the canonical mass-luminosity relation. The 125 and 130.3-day Cepheids are not used because models do not reliably reproduce their periods.",Quintero-Salazar et al.2026,2010-04-00,2455287.5
MRK116,2010ApJ...713..615M,Marconi et al. 2010,W(VI),31.4,0.4,,,3,1,False,TM,1,2010,2026,Canonical theoretical Wesenheit distance based only on V6 (P=8.71 d). The calibration is computed directly at Z=0.0004 and Y=0.24; metallicity is therefore built into the models rather than applied as an empirical correction.,Quintero-Salazar et al.2026,2010-04-00,2455287.5
MRK116,2010ApJ...713..615M,Marconi et al. 2010,VI,31.4,0.2,,,3,1,False,TM,1,2010,2026,Nonlinear pulsation-model fit to the V and I light curves of V6. The error includes observational uncertainty and intrinsic dispersion among acceptable models. This is not a conventional multi-Cepheid PL regression.,Quintero-Salazar et al.2026,2010-04-00,2455287.5
NGC0925,2000ApJ...529..745F,Ferrarese et al.2000,W(VI),29.84,0.08,,,1,80,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
NGC0925,2001ApJ...548..564W,Willick & Batra 2001,W(VI),29.78,0.05,,,1,79,False,LMC,1,2001,2024,No metallicity correction applied.,Valencia et al.2024,2001-02-00,2451941.5
NGC0925,2001ApJ...549..721M,Macri et al.2001,H,29.84,0.08,,,1,10,True,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-03-00,2451969.5
NGC0925,2001ApJ...553...47F,Freedman et al.2001,W(VI),29.8,0.04,,,1,72,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC0925,2001ApJ...553...47F,Freedman et al.2001,W(VI),29.81,0.04,,,1,72,True,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC0925,2002A&A...383..398P,Paturel et al. 2002,W(VI),29.83,0.06,,,3,-1,False,GC,1,2002,2026,"Preferred near-solar-metallicity solution, with low Vlim sensitivity (+0.02/-0.08 mag). The reported 238 sosie matches do not establish the number of unique Cepheids.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC0925,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),29.77,0.07,,,1,238,False,GC,1,2002,2024,Use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
NGC0925,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.699,0.059,,,1,72,False,LMC,1,2003,2026,Maximum-light LMC PL solution. CTE corrected and used as a consistency check; no metallicity correction.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC0925,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.704,0.06,,,1,72,True,GC,1,2003,2026,FSG03 Galactic solution with a -0.064 mag metallicity correction. Its uncertainty is not included in e_R.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC0925,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.718,0.06,,,1,72,False,LMC,1,2003,2026,Representative mean-light result using the authors' OGLE LMC PL fit. CTE corrected but not metallicity corrected.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC0925,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.728,0.06,,,1,72,True,LMC,1,2003,2026,LMC mean-light solution with a +0.010 mag metallicity correction; the random error is inherited from the uncorrected fit.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC0925,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.768,0.06,,,1,72,False,GC,1,2003,2026,Representative FSG03 Galactic mean-light solution. CTE corrected but not metallicity corrected; random error only.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC0925,2006ApJS..165..108S,Saha et al.2006,W(VI),29.84,0.04,0.08,0.0894427191,2,65,True,GC+LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
NGC7331,2000ApJ...529..745F,Ferrarese et al.2000,W(VI),30.89,0.1,,,1,4,False,LMC,1,2000,2026,There are no specific comments on the publication.CHECK ARTICLE LATER.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
NGC7331,2001ApJ...548..564W,Willick & Batra 2001,VI,30.79,0.12,,,1,13,False,LMC,1,2001,2026,"Only 13 HST Cepheids with V,I data enter the fit, producing a comparatively large random uncertainty. No metallicity correction or host-specific systematic error is included.",Quintero-Salazar et al.2026,2001-02-00,2451941.5
NGC7331,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.81,0.09,,,1,13,False,LMC,1,2001,2026,Final Wesenheit fit; no period cut was required because all 13 Cepheids were retained. e_R contains random uncertainty only.,Quintero-Salazar et al.2026,2001-05-00,2452030.5
NGC7331,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.84,0.09,,,1,13,True,LMC,1,2001,2026,Table 4 mu_Z; all 13 Cepheids were retained. The metallicity correction uses gamma=-0.2 mag dex^-1 and its uncertainty is not included in e_R.,Quintero-Salazar et al.2026,2001-05-00,2452030.5
NGC7331,2002A&A...383..398P,Paturel et al. 2002,W(VI),30.93,0.12,,,3,-1,False,GC,1,2002,2026,"Not flagged as a preferred near-solar solution. Lowering Vlim by 0.5 mag changes mu by +0.39 mag. Table 6 reports 48 sosie matches, not an unambiguous count of distinct Cepheids.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC7331,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.8,0.11,,,1,48,False,GC,1,2002,2026,"HIPPARCOS-calibrated result. Its limiting-magnitude test gives an asymmetric change of +0.12/0.00 mag, contributing to the larger final uncertainty.",Quintero-Salazar et al.2026,2002-07-00,2452456.5
NGC7331,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.787,0.082,,,1,13,False,LMC,1,2003,2026,Maximum-light LMC PL solution used as a consistency check; it agrees with the mean-light result within 0.004 mag.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC7331,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.791,0.079,,,1,13,False,LMC,1,2003,2026,Representative LMC mean-light solution. CTE corrected but not metallicity corrected; random error only.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC7331,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.818,0.083,,,1,13,True,GC,1,2003,2026,"FSG03 Galactic result with a -0.040 mag metallicity correction, reversing the small uncorrected LMC-GC offset.",Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC7331,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.825,0.079,,,1,13,True,LMC,1,2003,2026,LMC solution with a +0.034 mag metallicity correction. The systematic uncertainty of gamma is excluded.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC7331,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.858,0.083,,,1,13,False,GC,1,2003,2026,Representative FSG03 Galactic mean-light solution. CTE corrected without metallicity adjustment.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC7331,2006ApJS..165..108S,Saha et al.2006,W(VI),30.89,0.1,0.08,0.1280624847,2,13,True,GC+LMC,1,2006,2026,Final modulus from 13 Cepheids. The uncorrected GC/LMC values are 30.98/30.80 mag; metallicity corrections of -0.09/+0.10 mag yield 30.89/30.90 mag before adoption.,Quintero-Salazar et al.2026,2006-07-00,2453917.5
NGC2366,1995AJ....110.1640T,Tolstoy et al.1995,gri,27.68,0.2,,,1,6,False,LMC,3,1995,2024,Article added before 2000 given absence of any other data for Cepheids.,Valencia et al.2024,1995-10-00,2449991.5
NGC2403,2001ApJ...553...47F,Freedman et al.2001,W(VI),27.48,0.1,,,1,10,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC2403,2001ApJ...553...47F,Freedman et al.2001,W(VI),27.54,0.1,,,1,10,True,LMC,1,2001,2024,Metallicity correction applied but error is the same as without correction.,Valencia et al.2024,2001-05-00,2452030.5
NGC2403,2006ApJS..165..108S,Saha et al.2006,W(VI),27.43,0.15,0.08,0.17,2,9,True,GC+LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
NGC5584,2011ApJ...730..119R,Riess et al. 2011,W(H VI),31.72,0.07,,,3,-1,True,N4258+LMC+GC,1,2011,2026,"NGC5584 is a newly added SN Ia host. Figure 7 lists 94 measured Cepheids, but the post-rejection count is not reported. Its metallicity gradient is included in the simultaneous Wesenheit fit.",Quintero-Salazar et al.2026,2011-04-00,2455652.5
NGC5584,2013MNRAS.434.2866F,Fiorentino et al.2013,F160W,31.71,0.04,,,1,78,True,LMC,1,2013,2026,"Pure theoretical F160W PL fit for Z=0.02, Y=0.28 and P>10 d. The 78 good Cepheids define the fit; sigma=0.32 mag. The quoted error is only the standard error of the mean.",Quintero-Salazar et al.2026,2013-10-00,2456566.5
NGC5584,2016ApJ...826...56R,Riess et al.2016,VIHK,31.786,0.046,,,1,83,True,N4258,1,2016,2026,NGC 5584 result from Table 5. Approximate SN-independent distance using the metallicity-dependent NIR Wesenheit global solution.,Quintero-Salazar et al.2026,2016-07-00,2457570.5
NGC5584,2021ApJ...911...12J,Javanmardi et al. 2021,W H(VI),31.639,0.038,,,3,82,False,LMC,1,2021,2026,LMC-calibrated alternative without metallicity correction. It is 0.147+/-0.060 mag below the cited SH0ES value and is considered less suitable because of the LMC-NGC 5584 metallicity mismatch.,Quintero-Salazar et al.2026,2021-04-00,2459305.5
NGC5584,2021ApJ...911...12J,Javanmardi et al. 2021,W H(VI),31.81,0.047,,,3,82,False,GC,1,2021,2026,Preferred solution using the Galactic Wesenheit PL calibration. No explicit metallicity correction is applied because the MW and NGC 5584 have similar metallicities.,Quintero-Salazar et al.2026,2021-04-00,2459305.5
NGC5584,2022ApJ...934L...7R,Riess et al. 2022,W H(VI),31.772,0.048,0.019,0.052,2,165,True,N4258+GC+LMC,1,2022,2026,Preferred SN-independent mu_host. The common systematic term is correlated and should not be added independently for different hosts. Error computed/retrieved from Table6.,Quintero-Salazar et al.2026,2022-07-00,2459761.5
NGC5584,2022ApJ...934L...7R,Riess et al. 2022,W H(VI),31.775,0.049,0.019,0.053,2,165,True,N4258+GC+LMC,1,2022,2026,Approximate mu_Ceph obtained after excluding only SN 2007af. The final sample contains 165 globally fitted Cepheids. Error computed/retrieved from Table6.,Quintero-Salazar et al.2026,2022-07-00,2459761.5
NGC2541,2000ApJ...529..745F,Ferrarese et al.2000,W(VI),30.47,0.08,,,1,-1,False,LMC,1,2000,2026,They calculate gamma.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
NGC2541,2001ApJ...548..564W,Willick & Batra 2001,W(VI),30.32,0.08,,,1,34,False,LMC,1,2000,2024,No metallicity correction applied.,Valencia et al.2024,2001-02-00,2451941.5
NGC2541,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.25,0.05,,,1,29,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC2541,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.25,0.05,,,1,29,True,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC2541,2002A&A...383..398P,Paturel et al. 2002,W(VI),30.47,0.07,,,3,-1,False,GC,1,2002,2026,"Preferred near-solar-metallicity solution. Vlim variations change mu by only +0.03/-0.07 mag. Table 6 reports 88 sosie matches, not an unambiguous unique-Cepheid count.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC2541,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.33,0.06,,,1,88,False,GC,1,2002,2024,"Data from Paturel et al. 2002 used, but calibrated with HIPPARCOS.",Valencia et al.2024,2002-07-00,2452456.5
