galaxy,bibcode,citation,band,modulus,random_error,probe_quality,publication_year,review_year,comments,review_author,ads_date,ads_jd
IC2574,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.89,0.03,1,2009,2024,There are no specific comments on the publication.,Valencia et al.2024,2009-07-00,2455013.5
IC2574,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.93,0.03,1,2009,2024,There are no specific comments on the publication.,Valencia et al.2024,2009-07-00,2455013.5
IC2574,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),27.96,0.03,1,2009,2024,"mu_0 does not appear in the publication table because it is truncated, but it is online.",Valencia et al.2024,2009-08-00,2455044.5
IC2574,2013AJ....146...86T,Tully et al.2013,F814W(F606W F814W),27.95,0.08,1,2013,2024,"Survey of 8,000 galaxies.",Valencia et al.2024,2013-10-00,2456566.5
M33,2000ApJ...529..745F,Ferrarese et al.2000,I(BVI),24.93,0.18,1,2000,2024,There are no specific comments on the publication.,Valencia et al.2024,2000-02-00,2451575.5
M33,2002AJ....123..244K,Kim et al.2002,I(BVI),24.81,0.04,1,2002,2024,They use bolometric correction equations and M-TRGB_bol to calculate mu_0.,Valencia et al.2024,2002-01-00,2452275.5
M33,2004MNRAS.350..243M,McConnachie et al.2004,I(VI),24.5,0.06,2,2004,2024,They mention that it is the same calibrator as 2004AJ....128..224T but it is a different value.,Valencia et al.2024,2004-05-00,2453126.5
M33,2004ApJ...608...42S,Sakai et al.2004,I(VIR),24.81,0.04,1,2004,2024,There are no specific comments on the publication.,Valencia et al.2024,2004-06-00,2453157.5
M33,2004AJ....128..224T,Tiede et al.2004,I(VI),24.69,0.07,3,2004,2024,Description of reddening correction.,Valencia et al.2024,2004-07-00,2453187.5
M33,2004AJ....128..237B,Brooks et al.2004,I(BVI),24.72,0.14,2,2004,2024,There are no specific comments on the publication.,Valencia et al.2024,2004-07-00,2453187.5
M33,2004A&A...423..925G,"Galleti, S. et al.2004",I(BVI),24.64,0.15,2,2004,2024,Seeing between 0.8'' and 1.1''.,Valencia et al.2024,2004-09-00,2453249.5
M33,2005MNRAS.356..979M,Rizzi et al.2005,I(VI),24.54,0.06,2,2005,2024,They mention that it is the same calibrator as 2004AJ....128..224T but it is a different value.,Valencia et al.2024,2005-01-00,2453371.5
M33,2007ApJ...661..815R,Rizzi et al.2007,I(BVI),24.71,0.03,1,2007,2024,"External region of the galaxy, red edge.",Valencia et al.2024,2007-06-00,2454252.5
M33,2007ApJ...661..815R,Rizzi et al.2007,I(BVI),24.71,0.04,1,2007,2024,"Internal region of the galaxy, blue edge.",Valencia et al.2024,2007-06-00,2454252.5
M33,2008AJ....135.1482S,Stonkute et al.2008,I(BVI),24.75,0.15,2,2008,2024,Study focused on analysis and comparison of ages in clusters.,Valencia et al.2024,2008-04-00,2454557.5
M33,2009AJ....138..332J,Jacobs et al.2009,I(BVI),24.82,0.1,1,2009,2024,"They mention that they use the calibrator from 2007ApJ...661..815R, but there are two in that article and it is not clear which one they are referring to.",Valencia et al.2024,2009-08-00,2455044.5
M33,2009ApJ...704.1120U,U et al. 2009,F814W(F606W F814W),24.84,0.1,1,2009,2026,Final average adopted from the halo and outer-disk TRGB measurements. The Rizzi et al. calibration includes a color/metallicity term; foreground reddening E(B-V)=0.04 was assumed.,Quintero-Salazar et al.2026,2009-10-00,2455105.5
M33,2010ApJ...724..799Y,Yang et al.2010,F814W(F606W F814W),24.77,0.13,1,2010,2024,They focus on RR Lyrae but also calculate TRGB.,Valencia et al.2024,2010-11-00,2455501.5
M33,2011A&A...533A..91G,"Grossi, M. et al.2011",I(VI),24.75,0.11,2,2011,2024,There are no specific comments on the publication.,Valencia et al.2024,2011-09-00,2455805.5
M33,2012ApJ...758...11C,Conn et al.2012,I(gi),24.57,0.05,2,2012,2024,Obtaining the TRGB from MCMC.,Valencia et al.2024,2012-10-00,2456201.5
M33,2025A&A...697L...6V,Vansevicius 2025,I(V I),24.626,0.008,2,2025,2026,"Subaru/Suprime-Cam V,I photometry; based on five outer-disc annuli. e_R is statistical only. TRGB zero-point, extinction, metallicity and contamination systematics were not fully quantified. No F160W data were used.",Quintero-Salazar et al.2026,2025-05-00,2460796.5
M81,2004ApJ...608...42S,Sakai et al.2004,I(VIR),28.03,0.12,1,2004,2024,There are no specific comments on the publication.,Valencia et al.2024,2004-06-00,2453157.5
M81,2005A&A...431..127T,"Tikhonov, N. A. et al.2005",I(VI),27.93,0.04,1,2005,2024,There are no specific comments on the publication.,Valencia et al.2024,2005-02-00,2453402.5
M81,2007ApJ...661..815R,Rizzi et al.2007,I(BVI),27.69,0.04,1,2007,2024,M-TRGB_I is presented for each galaxy appearing in the publication.,Valencia et al.2024,2007-06-00,2454252.5
M81,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.72,0.06,1,2009,2024,"NED value, Halo-I with 227 stars.",Valencia et al.2024,2009-07-00,2455013.5
M81,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.77,0.04,1,2009,2024,"NED value, field 29 with 330 stars.",Valencia et al.2024,2009-07-00,2455013.5
M81,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.77,0.02,1,2009,2024,"NED value, deep field with 198 stars.",Valencia et al.2024,2009-07-00,2455013.5
M81,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F435W F814W),27.78,0.04,1,2009,2024,"NED value, field 29 with 551 stars.",Valencia et al.2024,2009-07-00,2455013.5
M81,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),27.68,0.09,1,2009,2024,"mu_0 value does not appear in the publication, only online.",Valencia et al.2024,2009-08-00,2455044.5
M81,2010ApJ...718.1118D,Dalcanton et al.2010,F814W(F606W F814W),27.86,0.06,1,2010,2024,There are no specific comments on the publication.,Valencia et al.2024,2010-08-00,2455409.5
M81,2012ApJ...751L..19J,Jang et al. 2012,F814W(F606W F814W),27.8,0.03,1,2012,2026,"TRGB distance of remote cluster GC-1, found to be consistent with M81. It is not a measurement of the main galaxy body; the quoted error does not include a separate calibration systematic.",Quintero-Salazar et al.2026,2012-05-00,2456048.5
M81,2012ApJ...751L..19J,Jang et al. 2012,F814W(F606W F814W),27.81,0.03,1,2012,2026,Independent ACS/WFC Field-1 and WFC3/UVIS Field-2 measurements both yield 27.81+/-0.03. TRGB errors were estimated with one million bootstrap realizations.,Quintero-Salazar et al.2026,2012-05-00,2456048.5
M81,2024ApJ...966..175N,Newman et al. 2024,F814W(F606W F814W),27.79,0.06,1,2024,2026,Direct F814W measurement for M81-1. e_R is the reported ML statistical error; the adopted Freedman (2021) zero point introduces shared calibration uncertainty. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
M81,2024ApJ...966..175N,Newman et al. 2024,F814W(F606W F814W),27.8,0.1,1,2024,2026,"Direct F814W measurement for M81-2. The result agrees with M81-1 within errors; spatial selection reduces young-star, AGB and RHeB contamination. The error range is used considering they report asymmetric errors.",Quintero-Salazar et al.2026,2024-05-00,2460431.5
M81,2024ApJ...966..175N,Newman et al. 2024,F110W(F110W F160W),27.81,0.28,1,2024,2026,M81-2 NIR remeasurement. Its uncertainty is considerably larger than for M81-1. The value is tied to the common F814W anchor and is not geometrically independent. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
M81,2024ApJ...966..175N,Newman et al. 2024,F160W(F110W F160W),27.82,0.1,1,2024,2026,M81-2 F160W result. It agrees with both F814W fields within errors and provides an internal test rather than an independent distance anchor. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
M81,2024ApJ...966..175N,Newman et al. 2024,F110W(F110W F160W),27.85,0.11,1,2024,2026,"M81-1 NIR remeasurement using the new color calibration. It is tied to F814W and is an internal validation, with shared calibration covariance across fields. The error range is used considering they report asymmetric errors.",Quintero-Salazar et al.2026,2024-05-00,2460431.5
M81,2024ApJ...966..175N,Newman et al. 2024,F160W(F110W F160W),27.85,0.14,1,2024,2026,"M81-1 F160W result. Agreement with the optical modulus supports the NIR calibration, but this measurement inherits the common F814W distance scale. The error range is used considering they report asymmetric errors.",Quintero-Salazar et al.2026,2024-05-00,2460431.5
M101,2004ApJ...608...42S,Sakai et al.2004,I(VIR),29.42,0.11,1,2004,2024,There are no specific comments on the publication.,Valencia et al.2024,2004-06-00,2453157.5
M101,2007ApJ...661..815R,Rizzi et al.2007,I(BVI),29.34,0.09,1,2007,2024,M-TRGB_I is presented for each galaxy appearing in the publication.,Valencia et al.2024,2007-06-00,2454252.5
M101,2011ApJ...733..124S,Shappee & Stanek 2011,I(VI),29.05,0.06,1,2011,2024,sigma_sys =0.12.,Valencia et al.2024,2011-06-00,2455713.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.2,0.03,1,2011,2024,"Field 2, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.2,0.04,1,2011,2024,"Field 3, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.22,0.02,1,2011,2024,"Field 5, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.24,0.02,1,2011,2024,"Field 1, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.26,0.03,1,2011,2024,"Field 4, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.27,0.04,1,2011,2024,"Field S2, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.28,0.04,1,2011,2024,"Field 2, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.28,0.03,1,2011,2024,"Field 6, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.29,0.04,1,2011,2024,"Field S1, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.29,0.03,1,2011,2024,"Field S04, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.29,0.03,1,2011,2024,"Field 4, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.29,0.03,1,2011,2024,"Field S04, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.3,0.03,1,2011,2024,"Field 3, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.31,0.04,1,2011,2024,"Field 6, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.32,0.03,1,2011,2024,"Field 1, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.33,0.02,1,2011,2024,"Field 5, method 1.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.34,0.03,1,2011,2024,"Field S1, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2012ApJ...760L..14L,Lee & Jang 2012,I(VI),29.38,0.03,1,2011,2024,"Field S2, method 2.",Valencia et al.2024,2012-11-00,2456232.5
M101,2015AstL...41..239T,Tikhonov et al.2015,F814W(F606W F814W),29.12,0.14,1,2015,2024,Field 1.,Valencia et al.2024,2015-06-00,2457174.5
M101,2015AstL...41..239T,Tikhonov et al.2015,F814W(F606W F814W),29.17,0.13,1,2015,2024,Field 2.,Valencia et al.2024,2015-06-00,2457174.5
M101,2015AstL...41..239T,Tikhonov et al.2015,F814W(F606W F814W),29.19,0.14,1,2015,2024,Field 3.,Valencia et al.2024,2015-06-00,2457174.5
M101,2017ApJ...836...74J,Jang & Lee 2017,F814W(F555W F814W),29.16,0.022,1,2017,2024,Calibrator with LMC+N4258.,Valencia et al.2024,2017-02-00,2457785.5
M101,2018ApJS..235...23S,Sabbi et al.2018,I(VI),28.94,0.34,1,2018,2024,They mention that their calculations are conservative.,Valencia et al.2024,2018-03-00,2458178.5
MRK116,2007AstL...33..137T,Tikhonov 2007,F814W(F555W F814W),30.72,0.19,1,2007,2026,Final modulus converted from D=13.9+/-1.2 Mpc after star-by-star internal-extinction corrections. Both components yield I_TRGB=26.8+/-0.2. Small RGB counts and the approximate extinction treatment are the main caveats.,Quintero-Salazar et al.2026,2007-03-00,2454160.5
MRK116,2007ApJ...667L.151A,Aloisi et al.2007,I(VI),31.3,0.17,1,2007,2024,There are no specific comments on the publication.,Valencia et al.2024,2007-10-00,2454374.5
NGC2366,2002A&A...383..125K,"Karachentsev, I. D. et al.2002",I(VI),27.52,0.28,1,2002,2024,There are no specific comments on the publication.,Valencia et al.2024,2002-01-00,2452275.5
NGC2366,2005ApJ...627..739T,Thuan & Izotov 2005,I(VI),27.67,0.1,1,2005,2024,There are no specific comments on the publication.,Valencia et al.2024,2005-07-00,2453552.5
NGC2366,2008ARep...52...19T,Tikhonov & Galazutdinova 2008,I(VI),27.48,0.17,1,2008,2024,There are no specific comments on the publication.,Valencia et al.2024,2008-01-00,2454466.5
NGC2366,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.54,0.03,1,2009,2024,There are no specific comments on the publication.,Valencia et al.2024,2009-07-00,2455013.5
NGC2366,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),27.57,0.03,1,2009,2024,"Valor de mu_0, sigma_ran no aparecen en la publiacion por tabla truncada.",Valencia et al.2024,2009-08-00,2455044.5
NGC2366,2018AstBu..73...22T,Tikhonov 2018,F814W(F606W F814W),27.6,0.15,1,2018,2026,No object-specific uncertainty is tabulated; e_R is the paper's global external accuracy. Peripheral RGB stars were preferred to reduce AGB contamination and metallicity spread.,Quintero-Salazar et al.2026,2018-01-00,2458119.5
NGC2403,2003AJ....125.3046D,Davidge 2003,I(VI),27.51,0.24,2,2003,2024,Data from Freedman and Madore 1988.,Valencia et al.2024,2003-06-00,2452791.5
NGC2403,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.54,0.048,1,2009,2024,There are no specific comments on the publication.,Valencia et al.2024,2009-07-00,2455013.5
NGC2403,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),27.5,0.05,1,2009,2024,The values for mu_0 and sigma_ran do not appear in the publication because the table has been truncated.,Valencia et al.2024,2009-08-00,2455044.5
NGC2403,2011ApJS..195...18R,Radburn-Smith et al.2011,F814W(F606W F814W),27.45,0.04,1,2011,2024,Field 5 with 117 stars in TRGB.,Valencia et al.2024,2011-08-00,2455774.5
NGC2403,2016ApJ...828L...5C,Carlin et al.2016,i(gi),27.39,0.16,2,2016,2024,There are no specific comments on the publication.,Valencia et al.2024,2016-09-00,2457632.5
NGC2403,2024ApJ...966..175N,Newman et al. 2024,F814W(F606W F814W),27.43,0.03,1,2024,2026,Direct F814W measurement for NGC2403-2. It has smaller statistical uncertainty and agrees with field NGC2403-1 within errors. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC2403,2024ApJ...966..175N,Newman et al. 2024,F110W(F110W F160W),27.43,0.14,1,2024,2026,NGC2403-2 NIR result with asymmetric uncertainty. It matches the corresponding F814W modulus but shares its calibration scale and covariance. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC2403,2024ApJ...966..175N,Newman et al. 2024,F160W(F110W F160W),27.43,0.1,1,2024,2026,"NGC2403-2 F160W result. It reproduces the F814W modulus, but it is tied to the same optical anchor and should not be treated as independent. The error range is used considering they report asymmetric errors.",Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC2403,2024ApJ...966..175N,Newman et al. 2024,F814W(F606W F814W),27.45,0.11,1,2024,2026,Direct F814W measurement for NGC2403-1. The ML fit incorporates photometric errors and completeness from artificial-star tests. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC2403,2024ApJ...966..175N,Newman et al. 2024,F160W(F110W F160W),27.5,0.14,1,2024,2026,NGC2403-1 F160W result. It agrees with the optical measurement within errors and validates the color-corrected NIR relation internally. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC2403,2024ApJ...966..175N,Newman et al. 2024,F110W(F110W F160W),27.51,0.11,1,2024,2026,NGC2403-1 NIR result. The slightly larger modulus remains consistent with F814W within errors; it is an internal F814W-anchored calibration test. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC4214,2002AJ....123.1307M,Maiz-Apellaniz et al.2002,F814W(F555W F814W),27.31,0.18,1,2002,2024,WF chip.,Valencia et al.2024,2002-03-00,2452334.5
NGC4214,2002AJ....123.1307M,Maiz-Apellaniz et al.2002,F814W(F555W F814W),27.34,0.13,1,2002,2024,PC chip.,Valencia et al.2024,2002-03-00,2452334.5
NGC4214,2002AJ....123.1307M,Maiz-Apellaniz et al.2002,F814W(F702W F814W),27.34,0.13,1,2002,2024,PC chip.,Valencia et al.2024,2002-03-00,2452334.5
NGC4214,2002AJ....123.1307M,Maiz-Apellaniz et al.2002,F814W(F702W F814W),27.34,0.16,1,2002,2024,WF chip.,Valencia et al.2024,2002-03-00,2452334.5
NGC4214,2002AJ....124..811D,Drozdovsky et al.2002,F814W(F555W F702W F814W),27.13,0.15,1,2002,2024,Value presented by NED.,Valencia et al.2024,2002-08-00,2452487.5
NGC4214,2002AJ....124..811D,Drozdovsky et al.2002,I(VI),27.13,0.23,1,2002,2024,Additional value of the publication.,Valencia et al.2024,2002-08-00,2452487.5
NGC4214,2006AJ....132..729T,Tully et al.2006,I(VI),27.33,0.03,1,2006,2024,"Only random error, does not contain M-TRGB_I error.",Valencia et al.2024,2006-08-00,2453948.5
NGC4214,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.41,0.03,1,2009,2024,There are no specific comments on the publication.,Valencia et al.2024,2009-07-00,2455013.5
NGC4214,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),27.35,0.04,1,2009,2024,"Value of mu_0, sigma_ran do not appear in the publication due to truncated table.",Valencia et al.2024,2009-08-00,2455044.5
NGC4214,2012A&A...540A..49M,"McCall, M. L. et al.2012",I(VI),27.39,0.1,2,2012,2024,"It is unclear whether these observations are from Spain, Mexico, Chile, or Hawaii.",Valencia et al.2024,2012-04-00,2456018.5
NGC4214,2013AstBu..68..125M,Makarov et al. 2013,F814W(F555W F814W),27.26,0.09,1,2013,2026,"WFPC2 archival photometry. Unlike the other targets, F555W rather than F606W provides the color. TRGBTOOL maximum-likelihood fitting gives F814W_TRGB=23.31+/-0.06. Real error is +0.05/-0.04.",Quintero-Salazar et al.2026,2013-04-00,2456383.5
NGC4214,2013AJ....146...86T,Tully et al.2013,F814W(F606W F814W),27.34,0.08,1,2013,2024,"Survey of 8,000 galaxies.",Valencia et al.2024,2013-10-00,2456566.5
NGC4214,2014AJ....148....7W,Wu et al. 2014,F160W(F110W F160W),27.33,0.11,1,2014,2026,Independent WFC3/IR solution from the same stellar field. F160W is brighter but has a stronger color dependence and a larger distance uncertainty.,Quintero-Salazar et al.2026,2014-07-00,2456839.5
NGC4214,2014AJ....148....7W,Wu et al. 2014,F110W(F110W F160W),27.34,0.07,1,2014,2026,Direct WFC3/IR measurement using the color-dependent IR TRGB calibration. The result agrees with the adopted optical F814W distance within 1 sigma.,Quintero-Salazar et al.2026,2014-07-00,2456839.5
NGC4236,2002A&A...383..125K,"Karachentsev, I. D. et al.2002",I(VI),28.24,0.22,1,2002,2024,There are no specific comments on the publication.,Valencia et al.2024,2002-01-00,2452275.5
NGC4236,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),28.46,0.45,1,2009,2024,Values for mu_0 and sigma_ran do not appear in the publication due to truncated table.,Valencia et al.2024,2009-08-00,2455044.5
NGC4236,2013AJ....146...86T,Tully et al.2013,F814W(F606W F814W),28.22,0.1,1,2013,2024,There are no specific comments on the publication.,Valencia et al.2024,2013-10-00,2456566.5
NGC4258,2005ApJ...633..810M,Mouhcine et al.2005,F814W(F606W F814W),29.32,0.09,1,2005,2024,sigma_sys=0.15.,Valencia et al.2024,2005-11-00,2453675.5
NGC4258,2007ApJ...661..815R,Rizzi et al.2007,I(BVI),29.42,0.06,1,2007,2024,There are no specific comments on the publication.,Valencia et al.2024,2007-06-00,2454252.5
NGC4258,2008ApJ...689..721M,Mager et al.2008,I(VI),29.28,0.04,1,2008,2024,sigma_sys=0.12.,Valencia et al.2024,2008-12-00,2454801.5
NGC4258,2009ApJ...690..389M,Madore et al.2009a,I(VI),29.44,0.11,1,2009,2024,"They present the T magnitude from Madore et al. 2009, using data from 2008ApJ...689..721M. The value of mu_0 does not appear in the article, but all the calculations are shown.",Valencia et al.2024,2009-01-00,2454832.5
NGC4258,2017ApJ...835...28J,Jang & Lee 2017,I(VI),29.37,0.02,1,2017,2024,There are no specific comments on the publication.,Valencia et al.2024,2017-01-00,2457754.5
NGC4258,2018ApJS..235...23S,Sabbi et al.2018,I(VI),29.17,0.34,1,2018,2024,They mention that the calculations are conservative.,Valencia et al.2024,2018-03-00,2458178.5
NGC4258,2024ApJ...966...89A,Anand et al. 2024,F090W(F090W F150W),29.417,0.038,1,2024,2026,"They report absolute and apparent magnitudes so I estimate mu_0 and its error using error propagation on stat errors. M=-4.362+/-0.033,m=25.055+/-0.02",Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC4395,2003A&A...398..467K,Karachentsev et al. 2003,F814W(F606W F814W),28.32,0.29,1,2003,2026,"The WFPC2 field contains about 21,800 stars, mostly RGB stars. I_TRGB=24.30+/-0.28 and A_I=0.03 mag. The result agrees with the previous brightest-stars distance of 4.2+/-0.8 Mpc.",Quintero-Salazar et al.2026,2003-02-00,2452671.5
NGC4395,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),28.42,0.02,1,2009,2024,Values for mu_0 and sigma_ran do not appear in the publication due to truncated table.,Valencia et al.2024,2009-08-00,2455044.5
NGC4395,2013AJ....146...86T,Tully et al.2013,F814W(F606W F814W),28.39,0.1,1,2013,2024,There are no specific comments on the publication.,Valencia et al.2024,2013-10-00,2456566.5
NGC4395,2018AstBu..73...22T,Tikhonov 2018,F814W(F606W F814W),28.56,0.15,1,2018,2026,"No object-specific uncertainty is tabulated; e_R is the adopted global external accuracy. The derived distance is 5.17 Mpc, compared with a NED TRGB median of 4.76 Mpc.",Quintero-Salazar et al.2026,2018-01-00,2458119.5
NGC4395,2018ApJS..235...23S,Sabbi et al.2018,I(VI),28.32,0.32,1,2018,2024,They mention that their calculations are conservative.,Valencia et al.2024,2018-03-00,2458178.5
NGC6822,2000ApJ...529..745F,Ferrarese et al.2000,I(BVI),23.39,0.16,1,2000,2024,There are no specific comments on the publication.,Valencia et al.2024,2000-02-00,2451575.5
NGC6822,2003AJ....125.3097W,Wyder 2003,F814W(F555W F814W),23.36,0.1,1,2003,2026,"Intermediate minor-axis field. I_TRGB=19.90+/-0.10, (V-I)_TRGB=1.88, and A_V=0.94. This is the smallest reported modulus, but it is consistent with the other fields.",Quintero-Salazar et al.2026,2003-06-00,2452791.5
NGC6822,2003AJ....125.3097W,Wyder 2003,F814W(F555W F814W),23.38,0.1,1,2003,2026,"Central bar field with a strong young population. I_TRGB=20.00+/-0.10, (V-I)_TRGB=1.90, and A_V=1.06. The TRGB error is estimated from the Sobel-peak width.",Quintero-Salazar et al.2026,2003-06-00,2452791.5
NGC6822,2003AJ....125.3097W,Wyder 2003,F814W(F555W F814W),23.47,0.15,1,2003,2026,"Field with the lowest fitted extinction, A_V=0.84, close to the Galactic foreground. I_TRGB=19.95+/-0.15 and (V-I)_TRGB=1.87. The result agrees with the other fields.",Quintero-Salazar et al.2026,2003-06-00,2452791.5
