TAB5_INDEX,Name,F(Hb)DR7,Err_F(Hb)DR7,F(Hb)LSGF,Err_F(Hb)LSGF,F(Hb)LSI,Err_F(Hb)LSI,F([OIII]l4959)LSGF,Err_F([OIII]l4959)LSGF,F([OIII]l5007)LSGF,Err_F([OIII]l5007)LSGF,EW(Hb),Err_EW(Hb),Inst.
028,J081403+235328,118.5,1.9,116.8,14.3,115.7,14.3,205.4,13.2,599.3,35.4,109.7,7.3,1
029,J081420+575008,71.9,0.6,109.0,13.3,108.8,13.3,155.6,10.0,459.7,27.2,58.0,1.6,1
030,J081737+520236,248.7,1.5,284.9,72.0,292.5,82.8,456.4,29.2,1303.0,77.0,61.4,1.2,1
031,J082520+082723,42.6,0.7,43.2,5.3,43.1,5.3,105.5,6.8,292.5,17.3,61.1,3.3,1
032,J082530+504804,106.0,0.9,128.4,15.7,128.0,15.7,229.3,14.7,654.2,38.7,119.6,4.1,1
033,J082722+202612,88.6,1.2,126.9,15.5,128.4,15.7,208.6,13.4,628.8,37.2,77.5,3.4,1
034,J083946+140033,69.4,0.7,82.5,10.1,83.3,10.2,106.9,6.9,309.4,18.3,84.2,2.9,1
035,J084000+180531,112.7,0.9,123.5,15.1,122.4,15.0,252.1,16.2,733.4,43.4,183.9,10.0,1
036,J084029+470710,262.4,1.8,350.5,42.7,356.9,43.5,651.1,41.7,1952.0,115.4,215.6,10.7,1
037,J084056+022030,73.2,0.7,92.1,9.3,92.3,9.1,36.6,2.3,107.7,6.4,71.2,2.3,1
038,J084219+300703,95.4,0.7,126.6,15.4,128.8,15.7,175.0,11.2,507.4,30.0,55.8,1.1,1
039,J084220+115000,223.8,1.4,309.9,34.9,312.4,34.0,nan,nan,nan,nan,126.1,4.2,2
040,J084414+022621,168.9,0.8,201.9,17.0,205.0,20.1,393.1,25.2,1165.0,68.9,111.4,2.2,1
041,J084527+530852,197.4,1.1,207.8,25.6,213.2,26.4,382.0,24.5,1096.0,64.8,149.7,5.5,1
042,J084634+362620,320.0,1.6,457.1,53.2,461.5,52.0,nan,nan,nan,nan,78.8,1.5,2
043,J085221+121651,374.9,1.4,438.0,53.4,440.6,53.8,868.6,55.7,2594.0,153.4,168.2,3.7,1
044,J090418+260106,111.8,1.0,145.9,15.4,146.5,15.0,nan,nan,nan,nan,64.1,1.7,2
045,J090506+223833,80.6,0.6,98.2,12.1,99.5,12.3,nan,nan,nan,nan,123.8,4.1,2
046,J090531+033530,109.1,0.8,166.3,20.5,165.9,20.5,273.3,17.5,879.2,52.0,125.8,4.0,1
047,J091434+470207,399.5,1.5,505.5,38.6,510.6,38.5,927.4,52.6,2702.5,134.9,112.1,2.3,1
048,J091640+182807,110.8,0.8,145.8,17.8,145.0,17.7,nan,nan,nan,nan,131.3,5.3,2
049,J091652+003113,65.5,0.8,79.8,9.7,79.3,9.7,112.4,7.2,339.6,20.1,81.6,3.7,1
050,J092540+063116,67.1,0.7,98.3,12.0,98.3,12.0,147.1,9.4,437.5,25.9,90.5,3.6,1
051,J092749+084037,83.9,1.0,94.6,11.6,93.3,11.4,84.0,5.4,268.1,15.9,100.7,5.6,1
052,J092918+002813,70.4,0.9,101.0,12.5,91.6,11.4,185.5,11.9,530.8,31.4,182.8,15.5,1
053,J093006+602653,318.4,1.4,454.7,52.9,459.1,51.7,878.0,56.3,2540.0,150.2,123.4,3.5,1
054,J093424+222522,99.3,1.1,128.3,13.4,128.8,13.0,nan,nan,nan,nan,108.1,4.4,2
055,J093813+542825,193.2,1.1,282.5,34.4,288.1,35.2,410.9,26.3,1202.0,71.1,84.4,2.0,1
056,J094000+203122,102.6,0.9,98.7,12.1,98.5,12.2,123.9,7.9,377.2,22.3,85.8,2.9,1
057,J094252+354725,193.2,1.1,264.3,29.3,266.2,28.6,nan,nan,nan,nan,91.6,2.0,2
058,J094254+340411,64.0,1.1,81.5,10.0,78.9,9.7,142.8,9.2,414.1,24.5,188.6,20.4,1
059,J094809+425713,158.5,1.2,213.1,23.2,214.4,22.6,nan,nan,nan,nan,100.1,3.5,2
060,J095000+300341,147.4,1.3,196.7,24.0,194.4,23.8,304.6,19.5,933.6,55.2,94.5,3.5,1
061,J095023+004229,125.9,1.1,132.4,16.2,134.8,16.5,240.2,15.4,768.2,45.4,118.9,3.7,1
062,J095131+525936,181.9,1.7,299.2,36.5,303.0,37.0,605.7,38.8,1792.0,106.0,180.8,8.0,1
063,J095226+021759,103.0,1.0,133.5,14.0,134.0,13.6,nan,nan,nan,nan,111.2,4.2,2
064,J095227+322809,147.9,1.0,226.1,27.8,225.2,27.8,449.1,28.8,1304.0,77.1,92.5,2.8,1
065,J095545+413429,191.3,1.5,261.4,29.0,263.2,28.3,nan,nan,nan,nan,67.9,1.8,2
066,J100720+193349,58.1,0.9,47.2,5.8,50.0,6.2,82.6,5.3,246.9,14.6,137.5,11.5,1
067,J100746+025228,180.2,0.8,237.8,29.1,238.5,29.3,395.5,25.3,1137.0,67.2,129.4,3.7,1
068,J101036+641242,234.3,1.1,312.9,38.1,307.5,37.5,414.6,26.6,1220.0,72.1,76.1,1.1,1
069,J101042+125516,341.8,1.3,452.3,56.2,448.7,55.9,813.6,52.1,2409.0,142.4,92.2,1.2,1
070,J101136+263027,90.6,0.7,122.8,15.0,121.5,14.9,181.0,11.6,552.2,32.7,91.0,2.9,1
071,J101157+130822,88.2,1.3,112.8,11.7,113.2,11.4,nan,nan,nan,nan,351.2,35.2,2
072,J101430+004755,73.4,0.9,92.3,9.4,92.6,9.1,nan,nan,nan,nan,81.1,3.4,2
073,J101458+193219,58.4,0.8,72.1,7.2,72.2,7.0,nan,nan,nan,nan,104.9,7.0,2
074,J102429+052451,275.1,1.4,519.5,63.5,524.7,64.3,889.4,57.0,2553.0,151.0,100.8,2.1,1
075,J102732-284201,158.5,3.2,158.5,3.2,158.5,3.2,nan,nan,nan,nan,73.0,7.3,3
076,J103226+271755,53.9,0.7,53.2,6.7,53.7,6.8,100.7,6.5,308.6,18.2,192.4,13.5,1
077,J103328+070801,395.6,1.6,545.1,66.4,530.7,64.8,493.6,31.6,1435.0,84.8,52.3,0.5,1
078,J103412+014249,47.1,0.7,57.0,5.6,57.0,5.4,nan,nan,nan,nan,93.4,5.6,2
079,J103509+094516,77.6,0.8,78.9,9.7,77.4,9.5,130.3,8.3,379.7,22.5,70.9,2.7,1
080,J103726+270759,62.1,0.8,77.1,7.7,77.2,7.5,nan,nan,nan,nan,67.4,2.6,2
081,J104457+035313,429.5,1.9,373.1,45.7,375.8,46.1,688.7,44.1,2038.0,120.5,332.5,18.1,1
082,J104554+010405,394.6,1.4,593.3,72.2,610.9,74.6,982.0,62.9,2736.0,161.8,170.7,4.8,1
083,J104653+134645,182.7,0.9,402.3,49.1,396.5,48.5,712.4,45.7,2092.0,123.7,210.0,9.0,1
084,J104723+302144,487.4,2.4,901.0,109.6,916.4,111.8,1319.0,84.5,3892.0,230.1,65.7,1.0,1
085,J104755+073951,80.9,1.5,102.6,10.6,102.9,10.3,nan,nan,nan,nan,181.6,15.8,2
086,J104829+111520,70.1,0.9,76.8,9.6,75.4,9.4,148.5,9.5,406.9,24.1,108.8,6.1,1
087,J105032+153806,243.0,1.1,315.7,38.6,325.4,39.8,688.3,44.1,1980.0,117.1,206.7,8.0,1
088,J105040+342947,143.0,1.0,198.9,24.3,204.3,25.0,334.3,21.4,980.0,57.9,120.5,4.0,1
089,J105108+131927,62.3,0.6,91.2,11.4,90.9,11.3,123.5,7.9,357.5,21.1,54.1,1.6,1
090,J105210+032713,40.9,0.8,49.0,4.8,49.0,4.6,nan,nan,nan,nan,66.1,3.8,2
091,J105326+043014,109.3,0.9,119.1,14.5,120.7,14.8,nan,nan,nan,nan,68.7,2.1,2
092,J105331+011740,75.6,0.8,77.7,9.5,78.0,9.6,nan,nan,nan,nan,81.7,3.2,2
093,J105741+653539,160.1,0.8,252.9,30.8,252.7,30.9,nan,nan,nan,nan,68.4,1.2,2
094,J105940+080056,133.7,1.1,170.1,20.9,171.0,21.0,275.6,17.7,789.8,46.7,74.8,2.1,1
095,J110838+223809,171.3,1.5,231.9,25.4,233.4,24.8,238.9,15.3,717.4,42.4,134.2,5.3,1
096,J114212+002003,692.0,3.5,1056.2,132.4,1070.7,129.7,2773.0,177.7,8456.0,500.0,57.5,0.8,1
097,J115023-003141,95.5,2.9,95.5,2.9,95.5,2.9,nan,nan,nan,nan,52.0,5.2,3
098,J121329+114056,211.8,1.4,243.5,29.6,244.3,29.8,505.3,32.4,1530.0,90.5,96.3,2.7,1
099,J121717-280233,223.9,4.5,223.9,4.5,223.9,4.5,nan,nan,nan,nan,294.0,29.4,3
100,J125305-031258,1971.9,3.5,3405.5,372.3,3402.6,390.9,7357.0,464.6,22180.0,1038.4,238.9,7.3,1
101,J130119+123959,225.9,1.1,337.0,17.7,342.3,14.5,364.6,23.4,1076.0,63.6,105.9,1.9,1
102,J131235+125743,143.6,1.0,208.0,48.1,203.9,49.6,343.9,22.0,1007.9,59.6,96.7,2.9,1
103,J132347-013252,154.9,1.3,194.4,12.1,193.4,17.1,471.9,10.3,1411.5,45.5,288.7,20.9,1
104,J132549+330354,379.3,1.4,309.8,37.7,307.2,37.5,605.5,38.8,1826.0,108.0,120.0,3.1,1
105,J133708-325528,257.0,5.1,257.0,5.1,257.0,5.1,nan,nan,nan,nan,263.0,26.3,3
106,J134531+044232,165.7,0.9,348.6,20.5,347.8,23.7,575.4,14.1,1722.7,54.6,67.9,1.3,1
107,J142342+225728,177.1,1.2,245.4,61.0,241.2,60.2,436.7,28.0,1255.0,74.2,135.9,4.1,1
108,J144805-011057,482.9,1.5,715.6,24.2,725.3,20.9,1599.6,76.0,4788.4,124.0,158.0,4.5,1
109,J162152+151855,322.0,1.3,491.6,45.7,496.6,41.7,712.7,45.6,2107.7,173.5,151.1,3.9,1
110,J171236+321633,148.8,0.8,200.1,33.0,199.5,28.9,365.7,54.7,1079.5,155.2,184.1,8.1,1
111,J192758-413432,2630.3,5.3,2630.3,5.3,2630.3,5.3,nan,nan,nan,nan,87.0,8.7,3
112,J210114-055510,53.3,0.8,61.0,7.5,62.1,7.7,102.9,6.6,304.1,18.0,115.4,7.9,1
113,J210501-062238,46.9,0.6,56.8,5.5,56.8,5.4,40.3,2.6,119.8,7.1,69.0,2.8,1
114,J211527-075951,125.7,1.0,165.7,17.6,166.5,17.2,nan,nan,nan,nan,143.7,6.2,2
115,J211902-074226,52.9,0.6,82.5,10.1,84.9,10.4,132.7,8.5,395.9,23.4,87.3,3.8,1
116,J212043+010006,67.9,0.9,84.9,8.6,85.1,8.3,nan,nan,nan,nan,74.3,2.8,2
117,J212332-074831,50.4,0.7,67.2,8.2,66.8,8.2,103.7,6.6,302.4,17.9,65.1,3.1,1
118,J214350-072003,47.7,0.6,57.9,5.6,57.9,5.5,nan,nan,nan,nan,69.1,2.9,2
119,J220802+131334,62.2,0.7,84.5,10.3,85.2,10.4,138.1,8.8,377.0,22.3,79.1,2.8,1
120,J221823+003918,38.5,0.6,45.9,4.4,45.8,4.3,nan,nan,nan,nan,66.3,3.6,2
121,J222510-001152,145.4,1.0,146.6,17.9,150.6,18.4,297.9,19.1,896.5,53.0,159.2,6.8,1
122,J224556+125022,129.3,0.9,161.0,19.6,164.5,20.1,177.5,11.4,532.9,31.5,79.7,1.8,1
123,J225140+132713,209.1,1.0,401.2,48.8,398.8,48.6,548.7,35.2,1612.0,95.3,61.8,0.9,1
124,J230117+135230,99.0,0.9,150.6,18.4,150.3,18.4,209.5,13.4,644.4,38.1,104.7,4.2,1
125,J230123+133314,182.0,1.3,332.9,40.6,335.9,41.0,547.9,35.1,1662.0,98.3,147.0,5.0,1
126,J230703+011311,103.2,0.8,108.4,13.3,108.8,13.4,131.1,8.4,385.1,22.8,79.6,2.1,1
127,J231442+010621,50.9,1.0,57.4,7.0,57.3,7.0,78.2,5.0,226.0,13.4,76.1,5.4,1
128,J232936-011056,82.8,0.9,100.0,12.3,103.2,12.7,210.3,13.5,591.1,35.0,91.8,3.9,1
