,complexity,loss,equation,score,sympy_format,lambda_format
10,16,0.10939582,(log10(lgt_av_M) * (((A_neb / ((Pop_10Myr / n_e) / -0.015375003)) / fneb_4020) + -0.25070864)) + A_neb,0.010516483578721914,A_neb + (A_neb/(fneb_4020*((Pop_10Myr/((-0.015375003)*n_e)))) - 0.25070864)*log10(lgt_av_M),PySRFunction(X=>A_neb + (A_neb/(fneb_4020*((Pop_10Myr/((-0.015375003)*n_e)))) - 0.25070864)*log10(lgt_av_M))
11,17,0.105809696,((A_neb - 0.14800057) - burstAge_M) + (((A_neb / ((Pop_10Myr / n_e) / -0.0165702)) / fneb_4020) + burstAge_L),0.03333052101085025,A_neb + A_neb/(fneb_4020*((Pop_10Myr/((-0.0165702)*n_e)))) + burstAge_L - burstAge_M - 1*0.14800057,PySRFunction(X=>A_neb + A_neb/(fneb_4020*((Pop_10Myr/((-0.0165702)*n_e)))) + burstAge_L - burstAge_M - 1*0.14800057)
12,19,0.10246021,(((fneb_4020 * 19.7014) * (A_neb - 0.14276788)) + burstAge_L) + ((A_neb / ((Pop_10Myr / n_e) / -0.3517854)) - burstAge_M),0.016083815874142256,A_neb/((Pop_10Myr/((-0.3517854)*n_e))) + burstAge_L - burstAge_M + fneb_4020*19.7014*(A_neb - 1*0.14276788),PySRFunction(X=>A_neb/((Pop_10Myr/((-0.3517854)*n_e))) + burstAge_L - burstAge_M + fneb_4020*19.7014*(A_neb - 1*0.14276788))
13,21,0.09911904,((((A_neb - 0.15188226) * fneb_4020) * 19.671188) + (burstAge_L + ((lgt_av_M * A_neb) / ((Pop_10Myr / n_e) / -0.03852334)))) - burstAge_M,0.016576488022659566,A_neb*lgt_av_M/((Pop_10Myr/((-0.03852334)*n_e))) + burstAge_L - burstAge_M + (A_neb - 1*0.15188226)*fneb_4020*19.671188,PySRFunction(X=>A_neb*lgt_av_M/((Pop_10Myr/((-0.03852334)*n_e))) + burstAge_L - burstAge_M + (A_neb - 1*0.15188226)*fneb_4020*19.671188)
14,23,0.09767576,((((A_neb - (0.4558825 / logR_u)) * fneb_4020) * 19.671188) + (burstAge_L + ((lgt_av_M * A_neb) / ((Pop_10Myr / n_e) / -0.03852334)))) - burstAge_M,0.007334065113515722,A_neb*lgt_av_M/((Pop_10Myr/((-0.03852334)*n_e))) + burstAge_L - burstAge_M + (A_neb - 0.4558825/logR_u)*fneb_4020*19.671188,PySRFunction(X=>A_neb*lgt_av_M/((Pop_10Myr/((-0.03852334)*n_e))) + burstAge_L - burstAge_M + (A_neb - 0.4558825/logR_u)*fneb_4020*19.671188)
15,25,0.09287465,((fneb_4020 * (A_neb - 0.13485622)) * 16.803295) + (((A_neb / (Pop_10Myr / (n_e / -3.0130177))) + (burstAge_L - (0.3277401 / (n_e - Pop_10Myr)))) - burstAge_M),0.025201343646081658,A_neb/((Pop_10Myr/((n_e/(-3.0130177))))) + burstAge_L - burstAge_M + fneb_4020*(A_neb - 1*0.13485622)*16.803295 - 0.3277401/(-Pop_10Myr + n_e),PySRFunction(X=>A_neb/((Pop_10Myr/((n_e/(-3.0130177))))) + burstAge_L - burstAge_M + fneb_4020*(A_neb - 1*0.13485622)*16.803295 - 0.3277401/(-Pop_10Myr + n_e))
16,26,0.08786684,((A_neb - 0.14142773) * ((fneb_4020 * 16.315928) - (0.025135204 / (log10(n_e) - 1.7239544)))) + ((((A_neb / Pop_10Myr) / (-3.0898967 / n_e)) + burstAge_L) - burstAge_M),0.05542824788058143,A_neb/(Pop_10Myr*((-3.0898967/n_e))) + burstAge_L - burstAge_M + (A_neb - 1*0.14142773)*(fneb_4020*16.315928 - 0.025135204/(log10(n_e) - 1*1.7239544)),PySRFunction(X=>A_neb/(Pop_10Myr*((-3.0898967/n_e))) + burstAge_L - burstAge_M + (A_neb - 1*0.14142773)*(fneb_4020*16.315928 - 0.025135204/(log10(n_e) - 1*1.7239544)))
17,28,0.08629944,(A_neb / (Pop_10Myr / (n_e / -2.7718594))) + (((burstAge_L + (((fneb_4020 * 16.315838) - (0.025199562 / (log10(n_e) - 1.728205))) * (A_neb - 0.12825516))) - burstAge_M) / 0.78464955),0.008999688783872252,A_neb/((Pop_10Myr/((n_e/(-2.7718594))))) + (burstAge_L - burstAge_M + (A_neb - 1*0.12825516)*(fneb_4020*16.315838 - 0.025199562/(log10(n_e) - 1*1.728205)))/0.78464955,PySRFunction(X=>A_neb/((Pop_10Myr/((n_e/(-2.7718594))))) + (burstAge_L - burstAge_M + (A_neb - 1*0.12825516)*(fneb_4020*16.315838 - 0.025199562/(log10(n_e) - 1*1.728205)))/0.78464955)
18,29,0.08427736,((((A_neb - 0.13141763) * ((fneb_4020 * 16.315928) - (0.025135204 / (log10(n_e) - 1.7239544)))) + (burstAge_L - burstAge_M)) / log10(lgt_av_M)) + (A_neb / (Pop_10Myr / (n_e / -3.0898967))),0.02370984478863343,A_neb/((Pop_10Myr/((n_e/(-3.0898967))))) + (burstAge_L - burstAge_M + (A_neb - 1*0.13141763)*(fneb_4020*16.315928 - 0.025135204/(log10(n_e) - 1*1.7239544)))/log10(lgt_av_M),PySRFunction(X=>A_neb/((Pop_10Myr/((n_e/(-3.0898967))))) + (burstAge_L - burstAge_M + (A_neb - 1*0.13141763)*(fneb_4020*16.315928 - 0.025135204/(log10(n_e) - 1*1.7239544)))/log10(lgt_av_M))
19,30,0.0841571,((burstAge_L + (((A_neb - exp(-1.9954125)) * ((fneb_4020 * 16.315928) - (0.025135204 / (log10(n_e) - 1.7239544)))) - burstAge_M)) / log10(lgt_av_M)) + (A_neb / (Pop_10Myr / (n_e / -3.0898967))),0.0014279740670083683,A_neb/((Pop_10Myr/((n_e/(-3.0898967))))) + (burstAge_L - burstAge_M + (A_neb - exp(-1.9954125))*(fneb_4020*16.315928 - 0.025135204/(log10(n_e) - 1*1.7239544)))/log10(lgt_av_M),PySRFunction(X=>A_neb/((Pop_10Myr/((n_e/(-3.0898967))))) + (burstAge_L - burstAge_M + (A_neb - exp(-1.9954125))*(fneb_4020*16.315928 - 0.025135204/(log10(n_e) - 1*1.7239544)))/log10(lgt_av_M))
