Index,Name,alpha(J2K),delta(J2K),z_hel,z_hel_err,FWHM(HB),FWHM(HB)_e,FWHM(O[III]),FWHM(O[III])_e
024,J074947+154013,117.44583,15.67036,0.07419,0.70,1.69,0.08,1.55,0.01
025,J080000+274642,120.00287,27.77833,0.03925,1.06,1.34,0.07,1.10,0.02
026,J080619+194927,121.58121,19.82425,0.06981,0.78,2.74,0.20,2.34,0.12
027,J081334+313252,123.39238,31.54781,0.01953,0.78,1.23,0.09,1.30,0.07
028,J081403+235328,123.51571,23.89136,0.01988,0.78,1.28,0.07,1.29,0.01
029,J081420+575008,123.58658,57.83556,0.05525,1.46,1.63,0.12,1.56,0.08
030,J081737+520236,124.40663,52.04342,0.02356,0.94,1.60,0.11,1.69,0.09
031,J082520+082723,126.33379,8.45644,0.08685,1.19,1.61,0.12,1.66,0.01
032,J082530+504804,126.37783,50.80122,0.09686,0.86,2.10,0.15,2.08,0.11
033,J082722+202612,126.84404,20.43686,0.10860,0.41,2.34,0.13,2.47,0.03
034,J083946+140033,129.94176,14.00922,0.11159,0.63,2.45,0.13,2.45,0.03
035,J084000+180531,130.00154,18.09192,0.07219,0.85,2.09,0.08,1.94,0.04
036,J084029+470710,130.12463,47.11950,0.04217,1.61,1.87,0.13,1.30,0.07
037,J084056+022030,130.23341,2.34192,0.05038,1.19,nan,nan,nan,nan
038,J084219+300703,130.57945,30.11764,0.08406,0.86,2.07,0.11,1.89,0.03
039,J084220+115000,130.58725,11.83342,0.02946,1.06,1.33,0.09,1.17,0.06
040,J084414+022621,131.05925,2.43922,0.09116,1.19,2.59,0.14,2.41,0.03
041,J084527+530852,131.36504,53.14803,0.03108,1.24,1.21,0.09,1.17,0.06
042,J084634+362620,131.64330,36.43911,0.01062,1.80,1.13,0.08,1.04,0.06
043,J085221+121651,133.09045,12.28103,0.07596,1.31,2.39,0.17,1.69,0.10
044,J090418+260106,136.07545,26.01842,0.09839,0.96,2.73,0.15,2.66,0.04
045,J090506+223833,136.27858,22.64272,0.12555,0.30,2.20,0.12,2.15,0.02
046,J090531+033530,136.37946,3.59178,0.03914,1.45,1.60,0.08,1.53,0.02
047,J091434+470207,138.64561,47.03533,0.02731,1.06,1.46,0.10,1.30,0.07
048,J091640+182807,139.17075,18.46886,0.02177,1.46,1.27,0.09,1.17,0.06
049,J091652+003113,139.21764,0.52053,0.05699,0.96,1.81,0.09,1.71,0.02
050,J092540+063116,141.42055,6.52133,0.07486,0.78,nan,nan,1.98,0.06
051,J092749+084037,141.95493,8.67697,0.10706,1.18,2.61,0.14,2.41,0.04
052,J092918+002813,142.32663,0.47031,0.09387,0.25,1.74,0.09,1.71,0.01
053,J093006+602653,142.52679,60.44814,0.01364,1.31,1.17,0.08,1.04,0.06
054,J093424+222522,143.60033,22.42294,0.08442,0.78,2.31,0.12,2.24,0.02
055,J093813+542825,144.55621,54.47361,0.10212,0.86,2.88,0.20,2.73,0.14
056,J094000+203122,145.00212,20.52292,0.04480,0.95,1.73,0.09,1.66,0.03
057,J094252+354725,145.71992,35.79053,0.01485,2.00,1.42,0.10,1.30,0.07
058,J094254+340411,145.72612,34.06994,0.02249,1.46,1.34,0.10,0.91,0.05
059,J094809+425713,147.04121,42.95375,0.01713,3.39,1.15,0.08,1.04,0.06
060,J095000+300341,147.50320,30.06139,0.01730,0.69,1.16,0.08,1.17,0.06
061,J095023+004229,147.59714,0.70811,0.09772,0.78,2.64,0.15,2.42,0.03
062,J095131+525936,147.88232,52.99333,0.04625,2.23,2.73,0.19,2.08,0.11
063,J095226+021759,148.11234,2.29994,0.11918,0.86,2.71,0.15,2.44,0.04
064,J095227+322809,148.11472,32.46928,0.01493,1.19,0.93,0.07,0.78,0.04
065,J095545+413429,148.93983,41.57494,0.01566,1.63,1.13,0.09,1.04,0.06
066,J100720+193349,151.83537,19.56375,0.03141,1.45,0.95,0.05,0.82,0.00
067,J100746+025228,151.94379,2.87456,0.02365,1.61,1.43,0.10,1.17,0.06
068,J101036+641242,152.65263,64.21183,0.03954,1.31,2.87,0.21,2.73,0.14
069,J101042+125516,152.67722,12.92131,0.06136,1.45,2.12,0.19,1.70,0.05
070,J101136+263027,152.90021,26.50764,0.05466,0.95,1.80,0.09,1.66,0.03
071,J101157+130822,152.98782,13.13947,0.14378,0.41,2.61,0.19,2.34,0.12
072,J101430+004755,153.62904,0.79861,0.14691,0.86,3.04,0.16,3.01,0.01
073,J101458+193219,153.74432,19.53875,0.01263,1.61,0.88,0.06,0.65,0.04
074,J102429+052451,156.12187,5.41417,0.03329,1.31,1.55,0.12,1.30,0.07
075,J102732-284201,156.88333,-28.70028,0.03200,1.28,1.47,0.11,1.48,0.02
076,J103226+271755,158.11229,27.29867,0.19249,0.14,nan,nan,nan,nan
077,J103328+070801,158.36884,7.13381,0.04450,1.45,2.61,0.19,2.47,0.13
078,J103412+014249,158.54887,1.71311,0.06870,1.45,1.81,0.08,1.71,0.00
079,J103509+094516,158.78888,9.75464,0.04921,0.95,1.85,0.14,1.56,0.09
080,J103726+270759,159.36058,27.13322,0.07708,1.19,1.80,0.09,1.84,0.03
081,J104457+035313,161.24078,3.88697,0.01287,2.00,1.12,0.08,1.04,0.06
082,J104554+010405,161.47821,1.06828,0.02620,2.00,1.63,0.12,1.56,0.08
083,J104653+134645,161.72491,13.77936,0.01074,2.75,1.18,0.08,0.91,0.05
084,J104723+302144,161.84833,30.36228,0.02947,0.56,1.82,0.13,1.69,0.09
085,J104755+073951,161.98300,7.66419,0.16828,0.96,3.33,0.18,nan,nan
086,J104829+111520,162.12175,11.25558,0.09270,0.78,nan,nan,1.43,0.01
087,J105032+153806,162.63547,15.63508,0.08453,1.80,1.70,0.12,1.69,0.09
088,J105040+342947,162.67014,34.49644,0.05227,1.06,1.55,0.08,1.47,0.02
089,J105108+131927,162.78700,13.32442,0.04545,1.31,1.61,0.12,1.04,0.06
090,J105210+032713,163.04337,3.45367,0.15015,0.86,2.02,0.14,2.01,0.00
091,J105326+043014,163.35841,4.50400,0.01900,1.46,nan,nan,0.91,0.05
092,J105331+011740,163.38083,1.29456,0.12380,1.06,2.27,0.12,2.14,0.04
093,J105741+653539,164.42474,65.59439,0.01146,1.80,1.07,0.08,1.04,0.06
094,J105940+080056,164.92072,8.01578,0.02752,1.46,nan,nan,2.21,0.12
095,J110838+223809,167.16042,22.63603,0.02382,1.18,1.18,0.06,1.06,0.01
096,J114212+002003,175.55087,0.33444,0.01987,1.80,3.05,0.16,3.20,0.06
097,J115023-003141,177.59938,-0.52806,0.01200,0.48,0.57,0.03,0.68,0.01
098,J121329+114056,183.37286,11.68244,0.02066,1.16,1.24,0.04,1.14,0.01
099,J121717-280233,184.32083,-28.04250,0.02600,1.04,1.11,0.04,0.99,0.00
100,J125305-031258,193.27487,-3.21633,0.02286,0.91,2.74,0.14,2.48,0.03
101,J130119+123959,195.33022,12.66653,0.06924,1.31,3.26,0.17,3.14,0.02
102,J131235+125743,198.14722,12.96236,0.02574,1.05,1.17,0.05,1.06,0.00
103,J132347-013252,200.94775,-1.54778,0.02246,1.31,0.96,0.05,0.86,0.00
104,J132549+330354,201.45592,33.06508,0.01470,0.95,1.13,0.06,1.05,0.01
105,J133708-325528,204.28333,-32.92444,0.01200,0.48,0.58,0.03,0.63,0.00
106,J134531+044232,206.38126,4.70908,0.03043,1.31,1.71,0.09,1.28,0.02
107,J142342+225728,215.92862,22.95797,0.03285,0.78,2.03,0.11,2.16,0.06
108,J144805-011057,222.02238,-1.18267,0.02739,2.00,2.02,0.10,2.05,0.04
109,J162152+151855,245.46904,15.31556,0.03438,1.06,2.28,0.12,2.26,0.03
110,J171236+321633,258.15262,32.27594,0.01195,1.80,0.99,0.03,0.96,0.00
111,J192758-413432,291.99167,-41.57556,0.00900,0.36,1.28,0.07,0.92,0.01
112,J210114-055510,315.30997,-5.91953,0.19618,0.70,nan,nan,nan,nan
113,J210501-062238,316.25626,-6.37744,0.14284,0.45,nan,nan,2.34,0.13
114,J211527-075951,318.86279,-7.99758,0.02845,1.45,1.10,0.03,0.89,0.00
115,J211902-074226,319.75949,-7.70744,0.08956,0.86,nan,nan,1.43,0.08
116,J212043+010006,320.18311,1.00192,0.11375,1.06,3.62,0.20,3.24,0.22
117,J212332-074831,320.88629,-7.80864,0.02799,0.70,1.18,0.09,0.91,0.05
118,J214350-072003,325.96191,-7.33433,0.10987,1.31,1.76,0.17,2.47,0.14
119,J220802+131334,332.01196,13.22625,0.11622,0.33,2.76,0.20,2.99,0.16
120,J221823+003918,334.59937,0.65511,0.10843,0.56,2.44,0.13,2.58,0.05
121,J222510-001152,336.29221,-0.19800,0.06668,1.80,1.91,0.13,1.81,0.02
122,J224556+125022,341.48721,12.83953,0.08048,0.78,2.09,0.15,1.95,0.10
123,J225140+132713,342.91797,13.45372,0.06214,1.06,2.01,0.14,2.21,0.12
124,J230117+135230,345.32355,13.87506,0.02456,0.95,0.94,0.08,1.04,0.06
125,J230123+133314,345.34830,13.55408,0.03042,1.06,1.56,0.11,1.56,0.08
126,J230703+011311,346.76559,1.21978,0.12577,1.45,3.12,0.22,2.86,0.15
127,J231442+010621,348.67554,1.10586,0.03420,1.63,1.10,0.09,1.17,0.06
128,J232936-011056,352.40228,-1.18247,0.06600,0.45,1.68,0.12,1.69,0.09
